date_dim_id;date;monthday;weekday;week;month;quarter;year
1;2015-01-01;1;Thursday;1;January;1;2015
2;2015-01-02;2;Friday;1;January;1;2015
3;2015-01-03;3;Saturday;1;January;1;2015
4;2015-01-04;4;Sunday;2;January;1;2015
5;2015-01-05;5;Monday;2;January;1;2015
6;2015-01-06;6;Tuesday;2;January;1;2015
7;2015-01-07;7;Wednesday;2;January;1;2015
8;2015-01-08;8;Thursday;2;January;1;2015
9;2015-01-09;9;Friday;2;January;1;2015
10;2015-01-10;10;Saturday;2;January;1;2015
11;2015-01-11;11;Sunday;3;January;1;2015
12;2015-01-12;12;Monday;3;January;1;2015
13;2015-01-13;13;Tuesday;3;January;1;2015
14;2015-01-14;14;Wednesday;3;January;1;2015
15;2015-01-15;15;Thursday;3;January;1;2015
16;2015-01-16;16;Friday;3;January;1;2015
17;2015-01-17;17;Saturday;3;January;1;2015
18;2015-01-18;18;Sunday;4;January;1;2015
19;2015-01-19;19;Monday;4;January;1;2015
20;2015-01-20;20;Tuesday;4;January;1;2015
21;2015-01-21;21;Wednesday;4;January;1;2015
22;2015-01-22;22;Thursday;4;January;1;2015
23;2015-01-23;23;Friday;4;January;1;2015
24;2015-01-24;24;Saturday;4;January;1;2015
25;2015-01-25;25;Sunday;5;January;1;2015
26;2015-01-26;26;Monday;5;January;1;2015
27;2015-01-27;27;Tuesday;5;January;1;2015
28;2015-01-28;28;Wednesday;5;January;1;2015
29;2015-01-29;29;Thursday;5;January;1;2015
30;2015-01-30;30;Friday;5;January;1;2015
31;2015-01-31;31;Saturday;5;January;1;2015
32;2015-02-01;1;Sunday;6;February;1;2015
33;2015-02-02;2;Monday;6;February;1;2015
34;2015-02-03;3;Tuesday;6;February;1;2015
35;2015-02-04;4;Wednesday;6;February;1;2015
36;2015-02-05;5;Thursday;6;February;1;2015
37;2015-02-06;6;Friday;6;February;1;2015
38;2015-02-07;7;Saturday;6;February;1;2015
39;2015-02-08;8;Sunday;7;February;1;2015
40;2015-02-09;9;Monday;7;February;1;2015
41;2015-02-10;10;Tuesday;7;February;1;2015
42;2015-02-11;11;Wednesday;7;February;1;2015
43;2015-02-12;12;Thursday;7;February;1;2015
44;2015-02-13;13;Friday;7;February;1;2015
45;2015-02-14;14;Saturday;7;February;1;2015
46;2015-02-15;15;Sunday;8;February;1;2015
47;2015-02-16;16;Monday;8;February;1;2015
48;2015-02-17;17;Tuesday;8;February;1;2015
49;2015-02-18;18;Wednesday;8;February;1;2015
50;2015-02-19;19;Thursday;8;February;1;2015
51;2015-02-20;20;Friday;8;February;1;2015
52;2015-02-21;21;Saturday;8;February;1;2015
53;2015-02-22;22;Sunday;9;February;1;2015
54;2015-02-23;23;Monday;9;February;1;2015
55;2015-02-24;24;Tuesday;9;February;1;2015
56;2015-02-25;25;Wednesday;9;February;1;2015
57;2015-02-26;26;Thursday;9;February;1;2015
58;2015-02-27;27;Friday;9;February;1;2015
59;2015-02-28;28;Saturday;9;February;1;2015
60;2015-03-01;1;Sunday;10;March;1;2015
61;2015-03-02;2;Monday;10;March;1;2015
62;2015-03-03;3;Tuesday;10;March;1;2015
63;2015-03-04;4;Wednesday;10;March;1;2015
64;2015-03-05;5;Thursday;10;March;1;2015
65;2015-03-06;6;Friday;10;March;1;2015
66;2015-03-07;7;Saturday;10;March;1;2015
67;2015-03-08;8;Sunday;11;March;1;2015
68;2015-03-09;9;Monday;11;March;1;2015
69;2015-03-10;10;Tuesday;11;March;1;2015
70;2015-03-11;11;Wednesday;11;March;1;2015
71;2015-03-12;12;Thursday;11;March;1;2015
72;2015-03-13;13;Friday;11;March;1;2015
73;2015-03-14;14;Saturday;11;March;1;2015
74;2015-03-15;15;Sunday;12;March;1;2015
75;2015-03-16;16;Monday;12;March;1;2015
76;2015-03-17;17;Tuesday;12;March;1;2015
77;2015-03-18;18;Wednesday;12;March;1;2015
78;2015-03-19;19;Thursday;12;March;1;2015
79;2015-03-20;20;Friday;12;March;1;2015
80;2015-03-21;21;Saturday;12;March;1;2015
81;2015-03-22;22;Sunday;13;March;1;2015
82;2015-03-23;23;Monday;13;March;1;2015
83;2015-03-24;24;Tuesday;13;March;1;2015
84;2015-03-25;25;Wednesday;13;March;1;2015
85;2015-03-26;26;Thursday;13;March;1;2015
86;2015-03-27;27;Friday;13;March;1;2015
87;2015-03-28;28;Saturday;13;March;1;2015
88;2015-03-29;29;Sunday;14;March;1;2015
89;2015-03-30;30;Monday;14;March;1;2015
90;2015-03-31;31;Tuesday;14;March;1;2015
91;2015-04-01;1;Wednesday;14;April;2;2015
92;2015-04-02;2;Thursday;14;April;2;2015
93;2015-04-03;3;Friday;14;April;2;2015
94;2015-04-04;4;Saturday;14;April;2;2015
95;2015-04-05;5;Sunday;15;April;2;2015
96;2015-04-06;6;Monday;15;April;2;2015
97;2015-04-07;7;Tuesday;15;April;2;2015
98;2015-04-08;8;Wednesday;15;April;2;2015
99;2015-04-09;9;Thursday;15;April;2;2015
100;2015-04-10;10;Friday;15;April;2;2015
101;2015-04-11;11;Saturday;15;April;2;2015
102;2015-04-12;12;Sunday;16;April;2;2015
103;2015-04-13;13;Monday;16;April;2;2015
104;2015-04-14;14;Tuesday;16;April;2;2015
105;2015-04-15;15;Wednesday;16;April;2;2015
106;2015-04-16;16;Thursday;16;April;2;2015
107;2015-04-17;17;Friday;16;April;2;2015
108;2015-04-18;18;Saturday;16;April;2;2015
109;2015-04-19;19;Sunday;17;April;2;2015
110;2015-04-20;20;Monday;17;April;2;2015
111;2015-04-21;21;Tuesday;17;April;2;2015
112;2015-04-22;22;Wednesday;17;April;2;2015
113;2015-04-23;23;Thursday;17;April;2;2015
114;2015-04-24;24;Friday;17;April;2;2015
115;2015-04-25;25;Saturday;17;April;2;2015
116;2015-04-26;26;Sunday;18;April;2;2015
117;2015-04-27;27;Monday;18;April;2;2015
118;2015-04-28;28;Tuesday;18;April;2;2015
119;2015-04-29;29;Wednesday;18;April;2;2015
120;2015-04-30;30;Thursday;18;April;2;2015
121;2015-05-01;1;Friday;18;May;2;2015
122;2015-05-02;2;Saturday;18;May;2;2015
123;2015-05-03;3;Sunday;19;May;2;2015
124;2015-05-04;4;Monday;19;May;2;2015
125;2015-05-05;5;Tuesday;19;May;2;2015
126;2015-05-06;6;Wednesday;19;May;2;2015
127;2015-05-07;7;Thursday;19;May;2;2015
128;2015-05-08;8;Friday;19;May;2;2015
129;2015-05-09;9;Saturday;19;May;2;2015
130;2015-05-10;10;Sunday;20;May;2;2015
131;2015-05-11;11;Monday;20;May;2;2015
132;2015-05-12;12;Tuesday;20;May;2;2015
133;2015-05-13;13;Wednesday;20;May;2;2015
134;2015-05-14;14;Thursday;20;May;2;2015
135;2015-05-15;15;Friday;20;May;2;2015
136;2015-05-16;16;Saturday;20;May;2;2015
137;2015-05-17;17;Sunday;21;May;2;2015
138;2015-05-18;18;Monday;21;May;2;2015
139;2015-05-19;19;Tuesday;21;May;2;2015
140;2015-05-20;20;Wednesday;21;May;2;2015
141;2015-05-21;21;Thursday;21;May;2;2015
142;2015-05-22;22;Friday;21;May;2;2015
143;2015-05-23;23;Saturday;21;May;2;2015
144;2015-05-24;24;Sunday;22;May;2;2015
145;2015-05-25;25;Monday;22;May;2;2015
146;2015-05-26;26;Tuesday;22;May;2;2015
147;2015-05-27;27;Wednesday;22;May;2;2015
148;2015-05-28;28;Thursday;22;May;2;2015
149;2015-05-29;29;Friday;22;May;2;2015
150;2015-05-30;30;Saturday;22;May;2;2015
151;2015-05-31;31;Sunday;23;May;2;2015
152;2015-06-01;1;Monday;23;June;2;2015
153;2015-06-02;2;Tuesday;23;June;2;2015
154;2015-06-03;3;Wednesday;23;June;2;2015
155;2015-06-04;4;Thursday;23;June;2;2015
156;2015-06-05;5;Friday;23;June;2;2015
157;2015-06-06;6;Saturday;23;June;2;2015
158;2015-06-07;7;Sunday;24;June;2;2015
159;2015-06-08;8;Monday;24;June;2;2015
160;2015-06-09;9;Tuesday;24;June;2;2015
161;2015-06-10;10;Wednesday;24;June;2;2015
162;2015-06-11;11;Thursday;24;June;2;2015
163;2015-06-12;12;Friday;24;June;2;2015
164;2015-06-13;13;Saturday;24;June;2;2015
165;2015-06-14;14;Sunday;25;June;2;2015
166;2015-06-15;15;Monday;25;June;2;2015
167;2015-06-16;16;Tuesday;25;June;2;2015
168;2015-06-17;17;Wednesday;25;June;2;2015
169;2015-06-18;18;Thursday;25;June;2;2015
170;2015-06-19;19;Friday;25;June;2;2015
171;2015-06-20;20;Saturday;25;June;2;2015
172;2015-06-21;21;Sunday;26;June;2;2015
173;2015-06-22;22;Monday;26;June;2;2015
174;2015-06-23;23;Tuesday;26;June;2;2015
175;2015-06-24;24;Wednesday;26;June;2;2015
176;2015-06-25;25;Thursday;26;June;2;2015
177;2015-06-26;26;Friday;26;June;2;2015
178;2015-06-27;27;Saturday;26;June;2;2015
179;2015-06-28;28;Sunday;27;June;2;2015
180;2015-06-29;29;Monday;27;June;2;2015
181;2015-06-30;30;Tuesday;27;June;2;2015
182;2015-07-01;1;Wednesday;27;July;3;2015
183;2015-07-02;2;Thursday;27;July;3;2015
184;2015-07-03;3;Friday;27;July;3;2015
185;2015-07-04;4;Saturday;27;July;3;2015
186;2015-07-05;5;Sunday;28;July;3;2015
187;2015-07-06;6;Monday;28;July;3;2015
188;2015-07-07;7;Tuesday;28;July;3;2015
189;2015-07-08;8;Wednesday;28;July;3;2015
190;2015-07-09;9;Thursday;28;July;3;2015
191;2015-07-10;10;Friday;28;July;3;2015
192;2015-07-11;11;Saturday;28;July;3;2015
193;2015-07-12;12;Sunday;29;July;3;2015
194;2015-07-13;13;Monday;29;July;3;2015
195;2015-07-14;14;Tuesday;29;July;3;2015
196;2015-07-15;15;Wednesday;29;July;3;2015
197;2015-07-16;16;Thursday;29;July;3;2015
198;2015-07-17;17;Friday;29;July;3;2015
199;2015-07-18;18;Saturday;29;July;3;2015
200;2015-07-19;19;Sunday;30;July;3;2015
201;2015-07-20;20;Monday;30;July;3;2015
202;2015-07-21;21;Tuesday;30;July;3;2015
203;2015-07-22;22;Wednesday;30;July;3;2015
204;2015-07-23;23;Thursday;30;July;3;2015
205;2015-07-24;24;Friday;30;July;3;2015
206;2015-07-25;25;Saturday;30;July;3;2015
207;2015-07-26;26;Sunday;31;July;3;2015
208;2015-07-27;27;Monday;31;July;3;2015
209;2015-07-28;28;Tuesday;31;July;3;2015
210;2015-07-29;29;Wednesday;31;July;3;2015
211;2015-07-30;30;Thursday;31;July;3;2015
212;2015-07-31;31;Friday;31;July;3;2015
213;2015-08-01;1;Saturday;31;August;3;2015
214;2015-08-02;2;Sunday;32;August;3;2015
215;2015-08-03;3;Monday;32;August;3;2015
216;2015-08-04;4;Tuesday;32;August;3;2015
217;2015-08-05;5;Wednesday;32;August;3;2015
218;2015-08-06;6;Thursday;32;August;3;2015
219;2015-08-07;7;Friday;32;August;3;2015
220;2015-08-08;8;Saturday;32;August;3;2015
221;2015-08-09;9;Sunday;33;August;3;2015
222;2015-08-10;10;Monday;33;August;3;2015
223;2015-08-11;11;Tuesday;33;August;3;2015
224;2015-08-12;12;Wednesday;33;August;3;2015
225;2015-08-13;13;Thursday;33;August;3;2015
226;2015-08-14;14;Friday;33;August;3;2015
227;2015-08-15;15;Saturday;33;August;3;2015
228;2015-08-16;16;Sunday;34;August;3;2015
229;2015-08-17;17;Monday;34;August;3;2015
230;2015-08-18;18;Tuesday;34;August;3;2015
231;2015-08-19;19;Wednesday;34;August;3;2015
232;2015-08-20;20;Thursday;34;August;3;2015
233;2015-08-21;21;Friday;34;August;3;2015
234;2015-08-22;22;Saturday;34;August;3;2015
235;2015-08-23;23;Sunday;35;August;3;2015
236;2015-08-24;24;Monday;35;August;3;2015
237;2015-08-25;25;Tuesday;35;August;3;2015
238;2015-08-26;26;Wednesday;35;August;3;2015
239;2015-08-27;27;Thursday;35;August;3;2015
240;2015-08-28;28;Friday;35;August;3;2015
241;2015-08-29;29;Saturday;35;August;3;2015
242;2015-08-30;30;Sunday;36;August;3;2015
243;2015-08-31;31;Monday;36;August;3;2015
244;2015-09-01;1;Tuesday;36;September;3;2015
245;2015-09-02;2;Wednesday;36;September;3;2015
246;2015-09-03;3;Thursday;36;September;3;2015
247;2015-09-04;4;Friday;36;September;3;2015
248;2015-09-05;5;Saturday;36;September;3;2015
249;2015-09-06;6;Sunday;37;September;3;2015
250;2015-09-07;7;Monday;37;September;3;2015
251;2015-09-08;8;Tuesday;37;September;3;2015
252;2015-09-09;9;Wednesday;37;September;3;2015
253;2015-09-10;10;Thursday;37;September;3;2015
254;2015-09-11;11;Friday;37;September;3;2015
255;2015-09-12;12;Saturday;37;September;3;2015
256;2015-09-13;13;Sunday;38;September;3;2015
257;2015-09-14;14;Monday;38;September;3;2015
258;2015-09-15;15;Tuesday;38;September;3;2015
259;2015-09-16;16;Wednesday;38;September;3;2015
260;2015-09-17;17;Thursday;38;September;3;2015
261;2015-09-18;18;Friday;38;September;3;2015
262;2015-09-19;19;Saturday;38;September;3;2015
263;2015-09-20;20;Sunday;39;September;3;2015
264;2015-09-21;21;Monday;39;September;3;2015
265;2015-09-22;22;Tuesday;39;September;3;2015
266;2015-09-23;23;Wednesday;39;September;3;2015
267;2015-09-24;24;Thursday;39;September;3;2015
268;2015-09-25;25;Friday;39;September;3;2015
269;2015-09-26;26;Saturday;39;September;3;2015
270;2015-09-27;27;Sunday;40;September;3;2015
271;2015-09-28;28;Monday;40;September;3;2015
272;2015-09-29;29;Tuesday;40;September;3;2015
273;2015-09-30;30;Wednesday;40;September;3;2015
274;2015-10-01;1;Thursday;40;October;4;2015
275;2015-10-02;2;Friday;40;October;4;2015
276;2015-10-03;3;Saturday;40;October;4;2015
277;2015-10-04;4;Sunday;41;October;4;2015
278;2015-10-05;5;Monday;41;October;4;2015
279;2015-10-06;6;Tuesday;41;October;4;2015
280;2015-10-07;7;Wednesday;41;October;4;2015
281;2015-10-08;8;Thursday;41;October;4;2015
282;2015-10-09;9;Friday;41;October;4;2015
283;2015-10-10;10;Saturday;41;October;4;2015
284;2015-10-11;11;Sunday;42;October;4;2015
285;2015-10-12;12;Monday;42;October;4;2015
286;2015-10-13;13;Tuesday;42;October;4;2015
287;2015-10-14;14;Wednesday;42;October;4;2015
288;2015-10-15;15;Thursday;42;October;4;2015
289;2015-10-16;16;Friday;42;October;4;2015
290;2015-10-17;17;Saturday;42;October;4;2015
291;2015-10-18;18;Sunday;43;October;4;2015
292;2015-10-19;19;Monday;43;October;4;2015
293;2015-10-20;20;Tuesday;43;October;4;2015
294;2015-10-21;21;Wednesday;43;October;4;2015
295;2015-10-22;22;Thursday;43;October;4;2015
296;2015-10-23;23;Friday;43;October;4;2015
297;2015-10-24;24;Saturday;43;October;4;2015
298;2015-10-25;25;Sunday;44;October;4;2015
299;2015-10-26;26;Monday;44;October;4;2015
300;2015-10-27;27;Tuesday;44;October;4;2015
301;2015-10-28;28;Wednesday;44;October;4;2015
302;2015-10-29;29;Thursday;44;October;4;2015
303;2015-10-30;30;Friday;44;October;4;2015
304;2015-10-31;31;Saturday;44;October;4;2015
305;2015-11-01;1;Sunday;45;November;4;2015
306;2015-11-02;2;Monday;45;November;4;2015
307;2015-11-03;3;Tuesday;45;November;4;2015
308;2015-11-04;4;Wednesday;45;November;4;2015
309;2015-11-05;5;Thursday;45;November;4;2015
310;2015-11-06;6;Friday;45;November;4;2015
311;2015-11-07;7;Saturday;45;November;4;2015
312;2015-11-08;8;Sunday;46;November;4;2015
313;2015-11-09;9;Monday;46;November;4;2015
314;2015-11-10;10;Tuesday;46;November;4;2015
315;2015-11-11;11;Wednesday;46;November;4;2015
316;2015-11-12;12;Thursday;46;November;4;2015
317;2015-11-13;13;Friday;46;November;4;2015
318;2015-11-14;14;Saturday;46;November;4;2015
319;2015-11-15;15;Sunday;47;November;4;2015
320;2015-11-16;16;Monday;47;November;4;2015
321;2015-11-17;17;Tuesday;47;November;4;2015
322;2015-11-18;18;Wednesday;47;November;4;2015
323;2015-11-19;19;Thursday;47;November;4;2015
324;2015-11-20;20;Friday;47;November;4;2015
325;2015-11-21;21;Saturday;47;November;4;2015
326;2015-11-22;22;Sunday;48;November;4;2015
327;2015-11-23;23;Monday;48;November;4;2015
328;2015-11-24;24;Tuesday;48;November;4;2015
329;2015-11-25;25;Wednesday;48;November;4;2015
330;2015-11-26;26;Thursday;48;November;4;2015
331;2015-11-27;27;Friday;48;November;4;2015
332;2015-11-28;28;Saturday;48;November;4;2015
333;2015-11-29;29;Sunday;49;November;4;2015
334;2015-11-30;30;Monday;49;November;4;2015
335;2015-12-01;1;Tuesday;49;December;4;2015
336;2015-12-02;2;Wednesday;49;December;4;2015
337;2015-12-03;3;Thursday;49;December;4;2015
338;2015-12-04;4;Friday;49;December;4;2015
339;2015-12-05;5;Saturday;49;December;4;2015
340;2015-12-06;6;Sunday;50;December;4;2015
341;2015-12-07;7;Monday;50;December;4;2015
342;2015-12-08;8;Tuesday;50;December;4;2015
343;2015-12-09;9;Wednesday;50;December;4;2015
344;2015-12-10;10;Thursday;50;December;4;2015
345;2015-12-11;11;Friday;50;December;4;2015
346;2015-12-12;12;Saturday;50;December;4;2015
347;2015-12-13;13;Sunday;51;December;4;2015
348;2015-12-14;14;Monday;51;December;4;2015
349;2015-12-15;15;Tuesday;51;December;4;2015
350;2015-12-16;16;Wednesday;51;December;4;2015
351;2015-12-17;17;Thursday;51;December;4;2015
352;2015-12-18;18;Friday;51;December;4;2015
353;2015-12-19;19;Saturday;51;December;4;2015
354;2015-12-20;20;Sunday;52;December;4;2015
355;2015-12-21;21;Monday;52;December;4;2015
356;2015-12-22;22;Tuesday;52;December;4;2015
357;2015-12-23;23;Wednesday;52;December;4;2015
358;2015-12-24;24;Thursday;52;December;4;2015
359;2015-12-25;25;Friday;52;December;4;2015
360;2015-12-26;26;Saturday;52;December;4;2015
361;2015-12-27;27;Sunday;53;December;4;2015
362;2015-12-28;28;Monday;53;December;4;2015
363;2015-12-29;29;Tuesday;53;December;4;2015
364;2015-12-30;30;Wednesday;53;December;4;2015
365;2015-12-31;31;Thursday;53;December;4;2015
366;2016-01-01;1;Friday;1;January;1;2016
