date_dim_id;date;monthday;weekday;week;month;quarter;year
367;2016-01-02;2;Saturday;1;January;1;2016
368;2016-01-03;3;Sunday;2;January;1;2016
369;2016-01-04;4;Monday;2;January;1;2016
370;2016-01-05;5;Tuesday;2;January;1;2016
371;2016-01-06;6;Wednesday;2;January;1;2016
372;2016-01-07;7;Thursday;2;January;1;2016
373;2016-01-08;8;Friday;2;January;1;2016
374;2016-01-09;9;Saturday;2;January;1;2016
375;2016-01-10;10;Sunday;3;January;1;2016
376;2016-01-11;11;Monday;3;January;1;2016
377;2016-01-12;12;Tuesday;3;January;1;2016
378;2016-01-13;13;Wednesday;3;January;1;2016
379;2016-01-14;14;Thursday;3;January;1;2016
380;2016-01-15;15;Friday;3;January;1;2016
381;2016-01-16;16;Saturday;3;January;1;2016
382;2016-01-17;17;Sunday;4;January;1;2016
383;2016-01-18;18;Monday;4;January;1;2016
384;2016-01-19;19;Tuesday;4;January;1;2016
385;2016-01-20;20;Wednesday;4;January;1;2016
386;2016-01-21;21;Thursday;4;January;1;2016
387;2016-01-22;22;Friday;4;January;1;2016
388;2016-01-23;23;Saturday;4;January;1;2016
389;2016-01-24;24;Sunday;5;January;1;2016
390;2016-01-25;25;Monday;5;January;1;2016
391;2016-01-26;26;Tuesday;5;January;1;2016
392;2016-01-27;27;Wednesday;5;January;1;2016
393;2016-01-28;28;Thursday;5;January;1;2016
394;2016-01-29;29;Friday;5;January;1;2016
395;2016-01-30;30;Saturday;5;January;1;2016
396;2016-01-31;31;Sunday;6;January;1;2016
397;2016-02-01;1;Monday;6;February;1;2016
398;2016-02-02;2;Tuesday;6;February;1;2016
399;2016-02-03;3;Wednesday;6;February;1;2016
400;2016-02-04;4;Thursday;6;February;1;2016
401;2016-02-05;5;Friday;6;February;1;2016
402;2016-02-06;6;Saturday;6;February;1;2016
403;2016-02-07;7;Sunday;7;February;1;2016
404;2016-02-08;8;Monday;7;February;1;2016
405;2016-02-09;9;Tuesday;7;February;1;2016
406;2016-02-10;10;Wednesday;7;February;1;2016
407;2016-02-11;11;Thursday;7;February;1;2016
408;2016-02-12;12;Friday;7;February;1;2016
409;2016-02-13;13;Saturday;7;February;1;2016
410;2016-02-14;14;Sunday;8;February;1;2016
411;2016-02-15;15;Monday;8;February;1;2016
412;2016-02-16;16;Tuesday;8;February;1;2016
413;2016-02-17;17;Wednesday;8;February;1;2016
414;2016-02-18;18;Thursday;8;February;1;2016
415;2016-02-19;19;Friday;8;February;1;2016
416;2016-02-20;20;Saturday;8;February;1;2016
417;2016-02-21;21;Sunday;9;February;1;2016
418;2016-02-22;22;Monday;9;February;1;2016
419;2016-02-23;23;Tuesday;9;February;1;2016
420;2016-02-24;24;Wednesday;9;February;1;2016
421;2016-02-25;25;Thursday;9;February;1;2016
422;2016-02-26;26;Friday;9;February;1;2016
423;2016-02-27;27;Saturday;9;February;1;2016
424;2016-02-28;28;Sunday;10;February;1;2016
425;2016-02-29;29;Monday;10;February;1;2016
426;2016-03-01;1;Tuesday;10;March;1;2016
427;2016-03-02;2;Wednesday;10;March;1;2016
428;2016-03-03;3;Thursday;10;March;1;2016
429;2016-03-04;4;Friday;10;March;1;2016
430;2016-03-05;5;Saturday;10;March;1;2016
431;2016-03-06;6;Sunday;11;March;1;2016
432;2016-03-07;7;Monday;11;March;1;2016
433;2016-03-08;8;Tuesday;11;March;1;2016
434;2016-03-09;9;Wednesday;11;March;1;2016
435;2016-03-10;10;Thursday;11;March;1;2016
436;2016-03-11;11;Friday;11;March;1;2016
437;2016-03-12;12;Saturday;11;March;1;2016
438;2016-03-13;13;Sunday;12;March;1;2016
439;2016-03-14;14;Monday;12;March;1;2016
440;2016-03-15;15;Tuesday;12;March;1;2016
441;2016-03-16;16;Wednesday;12;March;1;2016
442;2016-03-17;17;Thursday;12;March;1;2016
443;2016-03-18;18;Friday;12;March;1;2016
444;2016-03-19;19;Saturday;12;March;1;2016
445;2016-03-20;20;Sunday;13;March;1;2016
446;2016-03-21;21;Monday;13;March;1;2016
447;2016-03-22;22;Tuesday;13;March;1;2016
448;2016-03-23;23;Wednesday;13;March;1;2016
449;2016-03-24;24;Thursday;13;March;1;2016
450;2016-03-25;25;Friday;13;March;1;2016
451;2016-03-26;26;Saturday;13;March;1;2016
452;2016-03-27;27;Sunday;14;March;1;2016
453;2016-03-28;28;Monday;14;March;1;2016
454;2016-03-29;29;Tuesday;14;March;1;2016
455;2016-03-30;30;Wednesday;14;March;1;2016
456;2016-03-31;31;Thursday;14;March;1;2016
457;2016-04-01;1;Friday;14;April;2;2016
458;2016-04-02;2;Saturday;14;April;2;2016
459;2016-04-03;3;Sunday;15;April;2;2016
460;2016-04-04;4;Monday;15;April;2;2016
461;2016-04-05;5;Tuesday;15;April;2;2016
462;2016-04-06;6;Wednesday;15;April;2;2016
463;2016-04-07;7;Thursday;15;April;2;2016
464;2016-04-08;8;Friday;15;April;2;2016
465;2016-04-09;9;Saturday;15;April;2;2016
466;2016-04-10;10;Sunday;16;April;2;2016
467;2016-04-11;11;Monday;16;April;2;2016
468;2016-04-12;12;Tuesday;16;April;2;2016
469;2016-04-13;13;Wednesday;16;April;2;2016
470;2016-04-14;14;Thursday;16;April;2;2016
471;2016-04-15;15;Friday;16;April;2;2016
472;2016-04-16;16;Saturday;16;April;2;2016
473;2016-04-17;17;Sunday;17;April;2;2016
474;2016-04-18;18;Monday;17;April;2;2016
475;2016-04-19;19;Tuesday;17;April;2;2016
476;2016-04-20;20;Wednesday;17;April;2;2016
477;2016-04-21;21;Thursday;17;April;2;2016
478;2016-04-22;22;Friday;17;April;2;2016
479;2016-04-23;23;Saturday;17;April;2;2016
480;2016-04-24;24;Sunday;18;April;2;2016
481;2016-04-25;25;Monday;18;April;2;2016
482;2016-04-26;26;Tuesday;18;April;2;2016
483;2016-04-27;27;Wednesday;18;April;2;2016
484;2016-04-28;28;Thursday;18;April;2;2016
485;2016-04-29;29;Friday;18;April;2;2016
486;2016-04-30;30;Saturday;18;April;2;2016
487;2016-05-01;1;Sunday;19;May;2;2016
488;2016-05-02;2;Monday;19;May;2;2016
489;2016-05-03;3;Tuesday;19;May;2;2016
490;2016-05-04;4;Wednesday;19;May;2;2016
491;2016-05-05;5;Thursday;19;May;2;2016
492;2016-05-06;6;Friday;19;May;2;2016
493;2016-05-07;7;Saturday;19;May;2;2016
494;2016-05-08;8;Sunday;20;May;2;2016
495;2016-05-09;9;Monday;20;May;2;2016
496;2016-05-10;10;Tuesday;20;May;2;2016
497;2016-05-11;11;Wednesday;20;May;2;2016
498;2016-05-12;12;Thursday;20;May;2;2016
499;2016-05-13;13;Friday;20;May;2;2016
500;2016-05-14;14;Saturday;20;May;2;2016
501;2016-05-15;15;Sunday;21;May;2;2016
502;2016-05-16;16;Monday;21;May;2;2016
503;2016-05-17;17;Tuesday;21;May;2;2016
504;2016-05-18;18;Wednesday;21;May;2;2016
505;2016-05-19;19;Thursday;21;May;2;2016
506;2016-05-20;20;Friday;21;May;2;2016
507;2016-05-21;21;Saturday;21;May;2;2016
508;2016-05-22;22;Sunday;22;May;2;2016
509;2016-05-23;23;Monday;22;May;2;2016
510;2016-05-24;24;Tuesday;22;May;2;2016
511;2016-05-25;25;Wednesday;22;May;2;2016
512;2016-05-26;26;Thursday;22;May;2;2016
513;2016-05-27;27;Friday;22;May;2;2016
514;2016-05-28;28;Saturday;22;May;2;2016
515;2016-05-29;29;Sunday;23;May;2;2016
516;2016-05-30;30;Monday;23;May;2;2016
517;2016-05-31;31;Tuesday;23;May;2;2016
518;2016-06-01;1;Wednesday;23;June;2;2016
519;2016-06-02;2;Thursday;23;June;2;2016
520;2016-06-03;3;Friday;23;June;2;2016
521;2016-06-04;4;Saturday;23;June;2;2016
522;2016-06-05;5;Sunday;24;June;2;2016
523;2016-06-06;6;Monday;24;June;2;2016
524;2016-06-07;7;Tuesday;24;June;2;2016
525;2016-06-08;8;Wednesday;24;June;2;2016
526;2016-06-09;9;Thursday;24;June;2;2016
527;2016-06-10;10;Friday;24;June;2;2016
528;2016-06-11;11;Saturday;24;June;2;2016
529;2016-06-12;12;Sunday;25;June;2;2016
530;2016-06-13;13;Monday;25;June;2;2016
531;2016-06-14;14;Tuesday;25;June;2;2016
532;2016-06-15;15;Wednesday;25;June;2;2016
533;2016-06-16;16;Thursday;25;June;2;2016
534;2016-06-17;17;Friday;25;June;2;2016
535;2016-06-18;18;Saturday;25;June;2;2016
536;2016-06-19;19;Sunday;26;June;2;2016
537;2016-06-20;20;Monday;26;June;2;2016
538;2016-06-21;21;Tuesday;26;June;2;2016
539;2016-06-22;22;Wednesday;26;June;2;2016
540;2016-06-23;23;Thursday;26;June;2;2016
541;2016-06-24;24;Friday;26;June;2;2016
542;2016-06-25;25;Saturday;26;June;2;2016
543;2016-06-26;26;Sunday;27;June;2;2016
544;2016-06-27;27;Monday;27;June;2;2016
545;2016-06-28;28;Tuesday;27;June;2;2016
546;2016-06-29;29;Wednesday;27;June;2;2016
547;2016-06-30;30;Thursday;27;June;2;2016
548;2016-07-01;1;Friday;27;July;3;2016
549;2016-07-02;2;Saturday;27;July;3;2016
550;2016-07-03;3;Sunday;28;July;3;2016
551;2016-07-04;4;Monday;28;July;3;2016
552;2016-07-05;5;Tuesday;28;July;3;2016
553;2016-07-06;6;Wednesday;28;July;3;2016
554;2016-07-07;7;Thursday;28;July;3;2016
555;2016-07-08;8;Friday;28;July;3;2016
556;2016-07-09;9;Saturday;28;July;3;2016
557;2016-07-10;10;Sunday;29;July;3;2016
558;2016-07-11;11;Monday;29;July;3;2016
559;2016-07-12;12;Tuesday;29;July;3;2016
560;2016-07-13;13;Wednesday;29;July;3;2016
561;2016-07-14;14;Thursday;29;July;3;2016
562;2016-07-15;15;Friday;29;July;3;2016
563;2016-07-16;16;Saturday;29;July;3;2016
564;2016-07-17;17;Sunday;30;July;3;2016
565;2016-07-18;18;Monday;30;July;3;2016
566;2016-07-19;19;Tuesday;30;July;3;2016
567;2016-07-20;20;Wednesday;30;July;3;2016
568;2016-07-21;21;Thursday;30;July;3;2016
569;2016-07-22;22;Friday;30;July;3;2016
570;2016-07-23;23;Saturday;30;July;3;2016
571;2016-07-24;24;Sunday;31;July;3;2016
572;2016-07-25;25;Monday;31;July;3;2016
573;2016-07-26;26;Tuesday;31;July;3;2016
574;2016-07-27;27;Wednesday;31;July;3;2016
575;2016-07-28;28;Thursday;31;July;3;2016
576;2016-07-29;29;Friday;31;July;3;2016
577;2016-07-30;30;Saturday;31;July;3;2016
578;2016-07-31;31;Sunday;32;July;3;2016
579;2016-08-01;1;Monday;32;August;3;2016
580;2016-08-02;2;Tuesday;32;August;3;2016
581;2016-08-03;3;Wednesday;32;August;3;2016
582;2016-08-04;4;Thursday;32;August;3;2016
583;2016-08-05;5;Friday;32;August;3;2016
584;2016-08-06;6;Saturday;32;August;3;2016
585;2016-08-07;7;Sunday;33;August;3;2016
586;2016-08-08;8;Monday;33;August;3;2016
587;2016-08-09;9;Tuesday;33;August;3;2016
588;2016-08-10;10;Wednesday;33;August;3;2016
589;2016-08-11;11;Thursday;33;August;3;2016
590;2016-08-12;12;Friday;33;August;3;2016
591;2016-08-13;13;Saturday;33;August;3;2016
592;2016-08-14;14;Sunday;34;August;3;2016
593;2016-08-15;15;Monday;34;August;3;2016
594;2016-08-16;16;Tuesday;34;August;3;2016
595;2016-08-17;17;Wednesday;34;August;3;2016
596;2016-08-18;18;Thursday;34;August;3;2016
597;2016-08-19;19;Friday;34;August;3;2016
598;2016-08-20;20;Saturday;34;August;3;2016
599;2016-08-21;21;Sunday;35;August;3;2016
600;2016-08-22;22;Monday;35;August;3;2016
601;2016-08-23;23;Tuesday;35;August;3;2016
602;2016-08-24;24;Wednesday;35;August;3;2016
603;2016-08-25;25;Thursday;35;August;3;2016
604;2016-08-26;26;Friday;35;August;3;2016
605;2016-08-27;27;Saturday;35;August;3;2016
606;2016-08-28;28;Sunday;36;August;3;2016
607;2016-08-29;29;Monday;36;August;3;2016
608;2016-08-30;30;Tuesday;36;August;3;2016
609;2016-08-31;31;Wednesday;36;August;3;2016
610;2016-09-01;1;Thursday;36;September;3;2016
611;2016-09-02;2;Friday;36;September;3;2016
612;2016-09-03;3;Saturday;36;September;3;2016
613;2016-09-04;4;Sunday;37;September;3;2016
614;2016-09-05;5;Monday;37;September;3;2016
615;2016-09-06;6;Tuesday;37;September;3;2016
616;2016-09-07;7;Wednesday;37;September;3;2016
617;2016-09-08;8;Thursday;37;September;3;2016
618;2016-09-09;9;Friday;37;September;3;2016
619;2016-09-10;10;Saturday;37;September;3;2016
620;2016-09-11;11;Sunday;38;September;3;2016
621;2016-09-12;12;Monday;38;September;3;2016
622;2016-09-13;13;Tuesday;38;September;3;2016
623;2016-09-14;14;Wednesday;38;September;3;2016
624;2016-09-15;15;Thursday;38;September;3;2016
625;2016-09-16;16;Friday;38;September;3;2016
626;2016-09-17;17;Saturday;38;September;3;2016
627;2016-09-18;18;Sunday;39;September;3;2016
628;2016-09-19;19;Monday;39;September;3;2016
629;2016-09-20;20;Tuesday;39;September;3;2016
630;2016-09-21;21;Wednesday;39;September;3;2016
631;2016-09-22;22;Thursday;39;September;3;2016
632;2016-09-23;23;Friday;39;September;3;2016
633;2016-09-24;24;Saturday;39;September;3;2016
634;2016-09-25;25;Sunday;40;September;3;2016
635;2016-09-26;26;Monday;40;September;3;2016
636;2016-09-27;27;Tuesday;40;September;3;2016
637;2016-09-28;28;Wednesday;40;September;3;2016
638;2016-09-29;29;Thursday;40;September;3;2016
639;2016-09-30;30;Friday;40;September;3;2016
640;2016-10-01;1;Saturday;40;October;4;2016
641;2016-10-02;2;Sunday;41;October;4;2016
642;2016-10-03;3;Monday;41;October;4;2016
643;2016-10-04;4;Tuesday;41;October;4;2016
644;2016-10-05;5;Wednesday;41;October;4;2016
645;2016-10-06;6;Thursday;41;October;4;2016
646;2016-10-07;7;Friday;41;October;4;2016
647;2016-10-08;8;Saturday;41;October;4;2016
648;2016-10-09;9;Sunday;42;October;4;2016
649;2016-10-10;10;Monday;42;October;4;2016
650;2016-10-11;11;Tuesday;42;October;4;2016
651;2016-10-12;12;Wednesday;42;October;4;2016
652;2016-10-13;13;Thursday;42;October;4;2016
653;2016-10-14;14;Friday;42;October;4;2016
654;2016-10-15;15;Saturday;42;October;4;2016
655;2016-10-16;16;Sunday;43;October;4;2016
656;2016-10-17;17;Monday;43;October;4;2016
657;2016-10-18;18;Tuesday;43;October;4;2016
658;2016-10-19;19;Wednesday;43;October;4;2016
659;2016-10-20;20;Thursday;43;October;4;2016
660;2016-10-21;21;Friday;43;October;4;2016
661;2016-10-22;22;Saturday;43;October;4;2016
662;2016-10-23;23;Sunday;44;October;4;2016
663;2016-10-24;24;Monday;44;October;4;2016
664;2016-10-25;25;Tuesday;44;October;4;2016
665;2016-10-26;26;Wednesday;44;October;4;2016
666;2016-10-27;27;Thursday;44;October;4;2016
667;2016-10-28;28;Friday;44;October;4;2016
668;2016-10-29;29;Saturday;44;October;4;2016
669;2016-10-30;30;Sunday;45;October;4;2016
670;2016-10-31;31;Monday;45;October;4;2016
671;2016-11-01;1;Tuesday;45;November;4;2016
672;2016-11-02;2;Wednesday;45;November;4;2016
673;2016-11-03;3;Thursday;45;November;4;2016
674;2016-11-04;4;Friday;45;November;4;2016
675;2016-11-05;5;Saturday;45;November;4;2016
676;2016-11-06;6;Sunday;46;November;4;2016
677;2016-11-07;7;Monday;46;November;4;2016
678;2016-11-08;8;Tuesday;46;November;4;2016
679;2016-11-09;9;Wednesday;46;November;4;2016
680;2016-11-10;10;Thursday;46;November;4;2016
681;2016-11-11;11;Friday;46;November;4;2016
682;2016-11-12;12;Saturday;46;November;4;2016
683;2016-11-13;13;Sunday;47;November;4;2016
684;2016-11-14;14;Monday;47;November;4;2016
685;2016-11-15;15;Tuesday;47;November;4;2016
686;2016-11-16;16;Wednesday;47;November;4;2016
687;2016-11-17;17;Thursday;47;November;4;2016
688;2016-11-18;18;Friday;47;November;4;2016
689;2016-11-19;19;Saturday;47;November;4;2016
690;2016-11-20;20;Sunday;48;November;4;2016
691;2016-11-21;21;Monday;48;November;4;2016
692;2016-11-22;22;Tuesday;48;November;4;2016
693;2016-11-23;23;Wednesday;48;November;4;2016
694;2016-11-24;24;Thursday;48;November;4;2016
695;2016-11-25;25;Friday;48;November;4;2016
696;2016-11-26;26;Saturday;48;November;4;2016
697;2016-11-27;27;Sunday;49;November;4;2016
698;2016-11-28;28;Monday;49;November;4;2016
699;2016-11-29;29;Tuesday;49;November;4;2016
700;2016-11-30;30;Wednesday;49;November;4;2016
701;2016-12-01;1;Thursday;49;December;4;2016
702;2016-12-02;2;Friday;49;December;4;2016
703;2016-12-03;3;Saturday;49;December;4;2016
704;2016-12-04;4;Sunday;50;December;4;2016
705;2016-12-05;5;Monday;50;December;4;2016
706;2016-12-06;6;Tuesday;50;December;4;2016
707;2016-12-07;7;Wednesday;50;December;4;2016
708;2016-12-08;8;Thursday;50;December;4;2016
709;2016-12-09;9;Friday;50;December;4;2016
710;2016-12-10;10;Saturday;50;December;4;2016
711;2016-12-11;11;Sunday;51;December;4;2016
712;2016-12-12;12;Monday;51;December;4;2016
713;2016-12-13;13;Tuesday;51;December;4;2016
714;2016-12-14;14;Wednesday;51;December;4;2016
715;2016-12-15;15;Thursday;51;December;4;2016
716;2016-12-16;16;Friday;51;December;4;2016
717;2016-12-17;17;Saturday;51;December;4;2016
718;2016-12-18;18;Sunday;52;December;4;2016
719;2016-12-19;19;Monday;52;December;4;2016
720;2016-12-20;20;Tuesday;52;December;4;2016
721;2016-12-21;21;Wednesday;52;December;4;2016
722;2016-12-22;22;Thursday;52;December;4;2016
723;2016-12-23;23;Friday;52;December;4;2016
724;2016-12-24;24;Saturday;52;December;4;2016
725;2016-12-25;25;Sunday;53;December;4;2016
726;2016-12-26;26;Monday;53;December;4;2016
727;2016-12-27;27;Tuesday;53;December;4;2016
728;2016-12-28;28;Wednesday;53;December;4;2016
729;2016-12-29;29;Thursday;53;December;4;2016
730;2016-12-30;30;Friday;53;December;4;2016
731;2016-12-31;31;Saturday;53;December;4;2016
732;2017-01-01;1;Sunday;1;January;1;2017
